S No,College_Code,College_Name,College_Type,Region,District,Place,COED,Affliate_Univ,ESTD,Branch,OC_BOYS,OC_GIRLS,SC_BOYS,SC_GIRLS,ST_BOYS,ST_GIRLS,BC_A_BOYS,BC_A_GIRLS,BC_B_BOYS,BC_B_GIRLS,BC_C_BOYS,BC_C_GIRLS,BC_D_BOYS,BC_D_GIRLS,BC_E_BOYS,BC_E_GIRLS,OC_EWS_BOYS,OC_EWS_GIRLS,FEE
1,ACEE,ADARSH COLLEGE OF ENGINEERING,PVT,AU,EG,GOLLAPROLU,COED,JNTUK,2008,CIV,143031,143031,170697,170697,143031,143031,143031,143031,143031,143031,143031,143031,143031,143031,143031,143031,158522,,35000
2,ACEE,ADARSH COLLEGE OF ENGINEERING,PVT,AU,EG,GOLLAPROLU,COED,JNTUK,2008,CSE,132938,132938,170635,170635,173467,173467,153425,167840,167292,169169,132938,139146,134908,157283,144114,144114,149718,120842,35000
3,ACEE,ADARSH COLLEGE OF ENGINEERING,PVT,AU,EG,GOLLAPROLU,COED,JNTUK,2008,ECE,114459,114459,114459,114459,114459,114459,165041,165041,163503,163503,114459,114459,114459,146246,114459,114459,128288,,35000
4,ACEE,ADARSH COLLEGE OF ENGINEERING,PVT,AU,EG,GOLLAPROLU,COED,JNTUK,2008,EEE,169131,169163,169131,169163,173554,173554,169163,169163,169169,169169,,,169142,169163,169163,169163,,,35000
5,ACEE,ADARSH COLLEGE OF ENGINEERING,PVT,AU,EG,GOLLAPROLU,COED,JNTUK,2008,MEC,169131,169131,173540,173540,169131,169131,169163,169163,169169,169169,,169131,169142,169142,169163,169163,,,35000
6,ACES,ADITYA COLLEGE OF ENGINEERING,PVT,AU,EG,PEDDAPURAM,COED,JNTUK,2008,CIV,81311,119201,129296,138982,81311,119201,109003,119201,123948,123948,81311,119201,81311,119201,81311,119201,,109659,38000
7,ACES,ADITYA COLLEGE OF ENGINEERING,PVT,AU,EG,PEDDAPURAM,COED,JNTUK,2008,CSE,31900,31900,110055,110055,128262,171628,77271,77271,68512,68512,31900,31900,42295,61136,147695,147695,34137,26445,38000
8,ACES,ADITYA COLLEGE OF ENGINEERING,PVT,AU,EG,PEDDAPURAM,COED,JNTUK,2008,CSM,44767,45866,170214,170214,95066,95066,99522,136357,69370,76716,44767,52880,52754,57239,132995,142219,47332,50848,38000
9,ACES,ADITYA COLLEGE OF ENGINEERING,PVT,AU,EG,PEDDAPURAM,COED,JNTUK,2008,CSO,53492,54061,53492,171559,53492,54757,109412,109412,77179,82112,53492,54061,68283,68283,71051,112254,54950,57293,38000
10,ACES,ADITYA COLLEGE OF ENGINEERING,PVT,AU,EG,PEDDAPURAM,COED,JNTUK,2008,ECE,59801,59801,173420,173420,169694,169694,139479,139479,76754,76754,124636,124636,78103,87646,126627,126627,60472,60156,38000
